AL,Alabama,234
AK,Alaska,234
AZ,Arizona,234
AR,Arkansas,234
CA,California,234
CO,Colorado,234
CT,Connecticut,234
DE,Delaware,234
FL,Florida,234
GA,Georgia,234
HI,Hawaii,234
ID,Idaho,234
IL,Illinois,234
IN,Indiana,234
IA,Iowa,234
KS,Kansas,234
KY,Kentucky,234
LA,Louisiana,234
ME,Maine,234
MD,Maryland,234
MA,Massachusetts,234
MI,Michigan,234
MN,Minnesota,234
MS,Mississippi,234
MO,Missouri,234
MT,Montana,234
NE,Nebraska,234
NV,Nevada,234
NH,New Hampshire,234
NJ,New Jersey,234
NM,New Mexico,234
NY,New York,234
NC,North Carolina,234
ND,North Dakota,234
OH,Ohio,234
OK,Oklahoma,234
OR,Oregon,234
PA,Pennsylvania,234
RI,Rhode Island,234
SC,South Carolina,234
SD,South Dakota,234
TN,Tennessee,234
TX,Texas,234
UT,Utah,234
VT,Vermont,234
VA,Virginia,234
WA,Washington,234
WV,West Virginia,234
WI,Wisconsin,234
WY,Wyoming,234
DC,Washington DC,234
PR,Puerto Rico,234
VI,U.S. Virgin Islands,234
AS,American Samoa,234
GU,Guam,234
MP,Northern Mariana Islands,234
AB,Alberta,42
BC,British Columbia,42
MB,Manitoba,42
NB,New Brunswick,42
NL,Newfoundland and Labrador,42
NS,Nova Scotia,42
ON,Ontario,42
PE,Prince Edward Island,42
QC,Quebec,42
SK,Saskatchewan,42
NT,Northwest Territories,42
NU,Nunavut,42
YT,Yukon Territory,42
