AL,Alabama,231
AK,Alaska,231
AZ,Arizona,231
AR,Arkansas,231
CA,California,231
CO,Colorado,231
CT,Connecticut,231
DE,Delaware,231
FL,Florida,231
GA,Georgia,231
HI,Hawaii,231
ID,Idaho,231
IL,Illinois,231
IN,Indiana,231
IA,Iowa,231
KS,Kansas,231
KY,Kentucky,231
LA,Louisiana,231
ME,Maine,231
MD,Maryland,231
MA,Massachusetts,231
MI,Michigan,231
MN,Minnesota,231
MS,Mississippi,231
MO,Missouri,231
MT,Montana,231
NE,Nebraska,231
NV,Nevada,231
NH,New Hampshire,231
NJ,New Jersey,231
NM,New Mexico,231
NY,New York,231
NC,North Carolina,231
ND,North Dakota,231
OH,Ohio,231
OK,Oklahoma,231
OR,Oregon,231
PA,Pennsylvania,231
RI,Rhode Island,231
SC,South Carolina,231
SD,South Dakota,231
TN,Tennessee,231
TX,Texas,231
UT,Utah,231
VT,Vermont,231
VA,Virginia,231
WA,Washington,231
WV,West Virginia,231
WI,Wisconsin,231
WY,Wyoming,231
DC,Washington DC,231
PR,Puerto Rico,231
VI,U.S. Virgin Islands,231
AS,American Samoa,231
GU,Guam,231
MP,Northern Mariana Islands,231
AB,Alberta,39
BC,British Columbia,39
MB,Manitoba,39
NB,New Brunswick,39
NL,Newfoundland and Labrador,39
NS,Nova Scotia,39
ON,Ontario,39
PE,Prince Edward Island,39
QC,Quebec,39
SK,Saskatchewan,39
NT,Northwest Territories,39
NU,Nunavut,39
YT,Yukon Territory,39
